Basin,Region,Site,Reference,Indicator,LongLat,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,Age_2_er_max,Age_2_er_min,Age_er_max,Age_er_min,Age_er_average,RSL_er_average,site,data_type_id,SiteName,RSL_offset,Age_epoch_id,RSL_old,min_TG_Age,max_Age_proxy,Age_diff,No_TG,data_lm_slope,data_lm_slope_err,ICE6_GIA_slope,ICE5_GIA_slope,GIA_slope,sd_GIA_slope,SL
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.17,0.07,0.07,1.858,15,66,0.0075,0.033,0.02025,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.11223440396180004
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.23,0.07,0.07,1.68,61,69,0.0305,0.0345,0.0325,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.09982400892799997
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.25,0.07,0.07,1.633,54,64,0.027,0.032,0.0295,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.10070441023929999
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.26,0.07,0.07,1.604,42,70,0.021,0.035,0.028,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.09890721104840003
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.27,0.07,0.07,1.576,41,69,0.0205,0.0345,0.0275,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.09751681182960004
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.29,0.07,0.07,1.532,56,62,0.028,0.031,0.0295,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.09961761305719999
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.31,0.07,0.07,1.489,59,52,0.0295,0.026,0.02775,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.10212521425690002
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.33,0.07,0.07,1.446,49,32,0.0245,0.016,0.02025,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.1046328154566
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.35,0.07,0.07,1.396,30,55,0.015,0.0275,0.02125,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.10429281685159994
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.6_-81.7,30.6,-81.7,-0.37,0.07,0.07,1.353,50,68,0.025,0.034,0.0295,0.07,01,ProxyData,"Nassau,
 Florida",NA,NA,NA,1.898,2.002,0.10399999999999987,FALSE,0.42,8.063192508779487e-68,0.3241365849971771,0.2785170078277588,0.4067999721,0.31096944215,-0.10680041805129997
