Region,Site,Reference,LongLat,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,SiteName,Age_er_max,Age_er_min,Age_er_average,RSL_er_average,site,data_type_id,data_lm_slope,data_lm_slope_err,ICE5_GIA_slope,NI_var_term
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.59,0.07,0.07,0.858,"Nassau,
 Florida",0.036,0.0385,0.03725,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0018327636461050187
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.61,0.07,0.07,0.804,"Nassau,
 Florida",0.0405,0.0415,0.041,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0034243597719528277
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.63,0.07,0.07,0.75,"Nassau,
 Florida",0.0425,0.0365,0.0395,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.007206484726525344
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.65,0.07,0.07,0.697,"Nassau,
 Florida",0.038,0.029,0.0335,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.00648039832943328
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.67,0.07,0.07,0.64,"Nassau,
 Florida",0.022,0.026,0.024,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0016438107032605122
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.69,0.07,0.07,0.576,"Nassau,
 Florida",0.0285,0.037,0.03275,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,8.799965661306559e-4
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.71,0.07,0.07,0.52,"Nassau,
 Florida",0.037,0.0375,0.03725,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,9.299012318682847e-4
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.73,0.07,0.07,0.463,"Nassau,
 Florida",0.0395,0.0315,0.0355,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.004246547442948245
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.75,0.07,0.07,0.402,"Nassau,
 Florida",0.032,0.029,0.0305,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.005546644877947717
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.77,0.07,0.07,0.351,"Nassau,
 Florida",0.0285,0.036,0.03225,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.004844956104588436
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.79,0.07,0.07,0.306,"Nassau,
 Florida",0.0345,0.0395,0.037,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.003758703818262511
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.81,0.07,0.07,0.261,"Nassau,
 Florida",0.0365,0.039,0.03775,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.002643297590309311
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.83,0.07,0.07,0.218,"Nassau,
 Florida",0.0335,0.036,0.03475,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0015505199874796725
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.84,0.07,0.07,0.159,"Nassau,
 Florida",0.034,0.0395,0.03675,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,6.892706358157815e-4
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.85,0.07,0.07,0.137,"Nassau,
 Florida",0.0375,0.0435,0.0405,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,7.739683773830815e-4
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.87,0.07,0.07,0.114,"Nassau,
 Florida",0.041,0.0455,0.04325,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0011016236597005695
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.89,0.07,0.07,0.07,"Nassau,
 Florida",0.0475,0.0495,0.0485,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.0024094822323440734
Florida,Nassau,Kemp et al. (2014),30.6_-81.7,30.6,-81.7,-0.91,0.07,0.07,0.024,"Nassau,
 Florida",0.0505,0.051,0.05075,0.07,01,ProxyData,0.42,8.063192508779487e-68,0.2785170078277588,0.00443735018684728
