Basin,Region,Site,Reference,Indicator,Latitude (°N),Longitude (°E),RSL (m),RSL +1s,RSL -1s,Age (CE),Age +2s,Age -2s
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.280,-72.650,-0.62,0.26,0.26,1356,86,86
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.270,-72.680,-0.73,0.26,0.26,1357,71,71
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.280,-72.650,-0.43,0.26,0.26,1485,150,150
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.270,-72.680,-1.11,0.32,0.32,1541,102,102
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.280,-72.640,-0.35,0.26,0.26,1736,214,214
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.280,-72.650,-0.80,0.32,0.32,1802,148,148
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.280,-72.650,-0.77,0.32,0.32,1809,141,141
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.270,-72.680,-0.35,0.26,0.26,1809,141,141
North Atlantic,Connecticut,East River Marsh,Nydick et al. (1995),foramininifera and plants,41.280,-72.650,-0.22,0.26,0.26,1816,134,134
North Atlantic,Connecticut,Hammock River,van de Plassche (1991); Compiled in Englehart and Horton (2012),plants,41.270,-72.520,-1.57,0.38,0.38,136,81,81
North Atlantic,Connecticut,Hammock River,van de Plassche (1991); Compiled in Englehart and Horton (2012),plants,41.270,-72.520,-2.15,0.27,0.27,230,103,103
North Atlantic,Connecticut,Hammock River,van de Plassche (1991); Compiled in Englehart and Horton (2012),plants,41.270,-72.520,-1.86,0.26,0.26,333,195,195
North Atlantic,Connecticut,Hammock River,van de Plassche et al. (1998); Compiled in Englehart and Horton (2012),plants,41.270,-72.510,-1.26,0.13,0.13,597,57,57
North Atlantic,Connecticut,Hammock River,van de Plassche et al. (1998); Compiled in Englehart and Horton (2012),plants,41.270,-72.510,-1.09,0.13,0.13,675,96,96
North Atlantic,Connecticut,Hammock River,van de Plassche et al. (1998); Compiled in Englehart and Horton (2012),plants,41.270,-72.510,-1.39,0.23,0.23,889,105,105
North Atlantic,Connecticut,Hammock River,van de Plassche et al. (1998); Compiled in Englehart and Horton (2012),plants,41.270,-72.510,-1.48,0.23,0.23,950,63,63
North Atlantic,Connecticut,Hammock River,van de Plassche et al. (1998); Compiled in Englehart and Horton (2012),plants,41.270,-72.510,-0.41,0.13,0.13,1375,73,73
North Atlantic,Connecticut,Hammock River,van de Plassche et al. (1998); Compiled in Englehart and Horton (2012),plants,41.270,-72.510,-0.67,0.13,0.13,1378,75,75
North Atlantic,Connecticut,Hammock River,van de Plassche et al. (1998); Compiled in Englehart and Horton (2012),plants,41.270,-72.510,-1.23,0.23,0.23,1391,57,57
North Atlantic,Connecticut,Hammock River,van de Plassche et al. (1998); Compiled in Englehart and Horton (2012),plants,41.270,-72.510,-0.56,0.13,0.13,1512,96,96
North Atlantic,Connecticut,Hammock River,van de Plassche et al. (1998); Compiled in Englehart and Horton (2012),plants,41.270,-72.510,-0.53,0.13,0.13,1535,95,95
North Atlantic,Connecticut,Hammock River,van de Plassche et al. (1998); Compiled in Englehart and Horton (2012),plants,41.270,-72.510,-1.03,0.23,0.23,1538,93,93
North Atlantic,Connecticut,Hammock River,van de Plassche et al. (1998); Compiled in Englehart and Horton (2012),plants,41.270,-72.510,-1.04,0.23,0.23,1548,96,96
North Atlantic,Connecticut,Hammock River,van de Plassche et al. (1998); Compiled in Englehart and Horton (2012),plants,41.270,-72.510,-0.27,0.13,0.13,1552,90,90
North Atlantic,Connecticut,Hammock River,van de Plassche et al. (1998); Compiled in Englehart and Horton (2012),plants,41.270,-72.510,-0.07,0.13,0.13,1798,152,152
North Atlantic,Connecticut,Hammock River,van de Plassche et al. (1998); Compiled in Englehart and Horton (2012),plants,41.270,-72.510,-0.51,0.23,0.23,1802,148,148
North Atlantic,Connecticut,Hammock River,van de Plassche et al. (1998); Compiled in Englehart and Horton (2012),plants,41.270,-72.510,0.17,0.13,0.13,1810,140,140
South Pacific,Cook Islands,Aitutaki,Goodwin and Harvey (2008),coral microatoll,-18.860,-159.790,0.80,0.05,0.05,363,104,104
South Pacific,Cook Islands,Aitutaki,Goodwin and Harvey (2008),coral microatoll,-18.860,-159.790,0.80,0.05,0.05,372,107,107
South Pacific,Cook Islands,Aitutaki,Goodwin and Harvey (2008),coral microatoll,-18.860,-159.790,0.60,0.05,0.05,421,117,117
South Pacific,Cook Islands,Aitutaki,Goodwin and Harvey (2008),coral microatoll,-18.860,-159.790,0.45,0.05,0.05,922,120,120
South Pacific,Cook Islands,Aitutaki,Goodwin and Harvey (2008),coral microatoll,-18.860,-159.790,-0.20,0.05,0.05,1900,10,10
South Pacific,Cook Islands,Rarotonga,Goodwin and Harvey (2008),coral microatoll,-21.230,-159.780,0.36,0.05,0.05,920,140,140
South Pacific,Cook Islands,Rarotonga,Goodwin and Harvey (2008),coral microatoll,-21.230,-159.780,0.35,0.05,0.05,1500,80,80
South Pacific,Cook Islands,Rarotonga,Goodwin and Harvey (2008),coral microatoll,-21.230,-159.780,0.15,0.05,0.05,1600,119,119
South Pacific,Cook Islands,Rarotonga,Goodwin and Harvey (2008),coral microatoll,-21.230,-159.780,0.15,0.05,0.05,1685,135,135
South Pacific,Cook Islands,Rarotonga,Goodwin and Harvey (2008),coral microatoll,-21.230,-159.780,-0.20,0.05,0.05,1715,50,50
South Pacific,Cook Islands,Rarotonga,Goodwin and Harvey (2008),coral microatoll,-21.230,-159.780,0.30,0.05,0.05,1760,60,60
South Pacific,Cook Islands,Rarotonga,Goodwin and Harvey (2008),coral microatoll,-21.230,-159.780,-0.20,0.05,0.05,1850,25,25
Baltic,Denmark,Ho Bugt,Szkornik et al. (2008),diatoms,55.583,8.267,-2.20,0.45,0.45,-808,56,54
Baltic,Denmark,Ho Bugt,Gehrels et al. (2006b); Szkornik et al. (2008),diatoms,55.583,8.267,-1.92,0.25,0.25,-203,278,288
Baltic,Denmark,Ho Bugt,Gehrels et al. (2006b); Szkornik et al. (2008),diatoms,55.583,8.267,-1.27,0.23,0.23,1,124,161
Baltic,Denmark,Ho Bugt,Gehrels et al. (2006b); Szkornik et al. (2008),diatoms,55.583,8.267,-0.86,0.23,0.23,127,109,95
Baltic,Denmark,Ho Bugt,Gehrels et al. (2006b); Szkornik et al. (2008),diatoms,55.583,8.267,-0.93,0.25,0.25,254,122,121
Baltic,Denmark,Ho Bugt,Gehrels et al. (2006b); Szkornik et al. (2008),diatoms,55.583,8.267,-0.75,0.22,0.22,257,145,131
Baltic,Denmark,Ho Bugt,Gehrels et al. (2006b); Szkornik et al. (2008),diatoms,55.583,8.267,-0.68,0.25,0.25,487,82,70
Baltic,Denmark,Ho Bugt,Gehrels et al. (2006b); Szkornik et al. (2008),diatoms,55.583,8.267,-0.55,0.22,0.22,490,103,76
Baltic,Denmark,Ho Bugt,Szkornik et al. (2008),diatoms,55.583,8.267,-0.74,0.23,0.23,530,69,98
Baltic,Denmark,Ho Bugt,Gehrels et al. (2006b); Szkornik et al. (2008),diatoms,55.583,8.267,-0.76,0.23,0.23,578,72,142
Baltic,Denmark,Ho Bugt,Szkornik et al. (2008),diatoms,55.583,8.267,-0.61,0.23,0.23,693,79,41
Baltic,Denmark,Ho Bugt,Gehrels et al. (2006b); Szkornik et al. (2008),diatoms,55.583,8.267,-0.74,0.23,0.23,701,168,101
Baltic,Denmark,Ho Bugt,Szkornik et al. (2008),diatoms,55.583,8.267,-0.60,0.23,0.23,729,128,66
Baltic,Denmark,Ho Bugt,Szkornik et al. (2008),diatoms,55.583,8.267,-0.50,0.23,0.23,831,114,117
Baltic,Denmark,Ho Bugt,Gehrels et al. (2006b); Szkornik et al. (2008),diatoms,55.583,8.267,-0.63,0.23,0.23,832,134,168
Baltic,Denmark,Ho Bugt,Gehrels et al. (2006b); Szkornik et al. (2008),plants,55.583,8.267,-0.61,0.30,0.30,1005,143,106
Baltic,Denmark,Ho Bugt,Szkornik et al. (2008),diatoms,55.583,8.267,-0.52,0.23,0.23,1090,69,76
Baltic,Denmark,Ho Bugt,Szkornik et al. (2008),diatoms,55.583,8.267,-0.40,0.23,0.23,1266,26,46
Baltic,Denmark,Ho Bugt,Szkornik et al. (2008),diatoms,55.583,8.267,-0.59,0.22,0.22,1464,40,40
Baltic,Denmark,Ho Bugt,Szkornik et al. (2008),diatoms,55.583,8.267,-0.28,0.23,0.23,1514,30,30
Baltic,Denmark,Ho Bugt,Szkornik et al. (2008),diatoms,55.583,8.267,-0.35,0.29,0.29,1554,30,30
Baltic,Denmark,Ho Bugt,Gehrels et al. (2006b); Szkornik et al. (2008),diatoms,55.583,8.267,0.03,0.22,0.22,1881,38,187
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,0.05,0.07,0.07,2002,6,11
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,0.03,0.07,0.07,1990,10,12
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,0.01,0.07,0.07,1980,10,7
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.01,0.07,0.07,1974,7,11
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.03,0.07,0.07,1964,11,27
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.05,0.07,0.07,1936,28,15
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.07,0.07,0.07,1920,20,15
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.09,0.07,0.07,1906,28,11
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.11,0.07,0.07,1896,20,18
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.13,0.07,0.07,1881,16,11
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.15,0.07,0.07,1870,7,17
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.17,0.07,0.07,1858,15,66
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.23,0.07,0.07,1680,61,69
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.25,0.07,0.07,1633,54,64
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.26,0.07,0.07,1604,42,70
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.27,0.07,0.07,1576,41,69
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.29,0.07,0.07,1532,56,62
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.31,0.07,0.07,1489,59,52
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.33,0.07,0.07,1446,49,32
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.35,0.07,0.07,1396,30,55
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.37,0.07,0.07,1353,50,68
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.39,0.07,0.07,1310,62,68
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.41,0.07,0.07,1267,65,62
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.43,0.07,0.07,1224,59,50
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.44,0.07,0.07,1198,55,50
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.45,0.07,0.07,1171,58,58
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.47,0.07,0.07,1130,67,71
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.48,0.07,0.07,1110,70,73
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.49,0.07,0.07,1089,73,75
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.51,0.07,0.07,1048,79,73
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.53,0.07,0.07,1007,76,67
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.55,0.07,0.07,965,71,53
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.57,0.07,0.07,914,66,50
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.59,0.07,0.07,858,72,77
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.61,0.07,0.07,804,81,83
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.63,0.07,0.07,750,85,73
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.65,0.07,0.07,697,76,58
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.67,0.07,0.07,640,44,52
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.69,0.07,0.07,576,57,74
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.71,0.07,0.07,520,74,75
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.73,0.07,0.07,463,79,63
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.75,0.07,0.07,402,64,58
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.77,0.07,0.07,351,57,72
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.79,0.07,0.07,306,69,79
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.81,0.07,0.07,261,73,78
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.83,0.07,0.07,218,67,72
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.84,0.07,0.07,159,68,79
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.85,0.07,0.07,137,75,87
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.87,0.07,0.07,114,82,91
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.89,0.07,0.07,70,95,99
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.91,0.07,0.07,24,101,102
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.93,0.07,0.07,-20,103,102
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.95,0.07,0.07,-65,104,101
