Basin,Region,Site,Reference,Indicator,Latitude (°N),Longitude (°E),RSL (m),RSL +1s,RSL -1s,Age (CE),Age +2s,Age -2s
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Testates,47.235,-53.960,-0.34,0.13,0.13,1564,93,95
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Testates,47.235,-53.960,-0.50,0.27,0.27,1514,114,69
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Testates,47.235,-53.960,-0.33,0.06,0.06,1454,133,33
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Testates,47.235,-53.960,-0.34,0.07,0.07,1428,72,15
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Testates,47.235,-53.960,-0.43,0.10,0.10,1421,13,14
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Testates,47.235,-53.960,-0.47,0.11,0.11,1415,14,18
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Testates,47.235,-53.960,-0.49,0.14,0.14,1410,14,30
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Testates,47.235,-53.960,-0.50,0.13,0.13,1408,11,54
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Testates,47.235,-53.960,-0.56,0.15,0.15,1405,12,67
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Testates,47.235,-53.960,-0.51,0.11,0.11,1396,17,64
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Testates,47.235,-53.960,-0.44,0.10,0.10,1381,26,53
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Testates,47.235,-53.960,-0.51,0.12,0.12,1369,34,45
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Testates,47.235,-53.960,-0.53,0.10,0.10,1357,42,40
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.62,0.06,0.06,1342,52,35
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.63,0.06,0.06,1324,59,26
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.60,0.06,0.06,1307,58,58
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.71,0.05,0.05,1285,58,85
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.75,0.04,0.04,1259,60,92
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.71,0.06,0.06,1239,63,98
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.72,0.06,0.06,1217,72,102
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.79,0.05,0.05,1196,71,107
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.81,0.05,0.05,1170,67,119
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.83,0.05,0.05,1139,65,171
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.84,0.05,0.05,1093,78,232
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.83,0.06,0.06,1045,86,303
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.89,0.05,0.05,943,140,277
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.90,0.05,0.05,787,207,184
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.90,0.06,0.06,634,281,160
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.92,0.06,0.06,523,175,187
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.93,0.06,0.06,395,145,185
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.93,0.08,0.08,255,199,197
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.99,0.06,0.06,96,191,109
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-0.96,0.07,0.07,39,160,95
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.07,0.05,0.05,-16,127,72
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.07,0.05,0.05,-68,100,80
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.09,0.05,0.05,-113,58,69
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.11,0.05,0.05,-154,67,55
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.13,0.05,0.05,-197,76,46
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.10,0.06,0.06,-220,52,37
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.16,0.06,0.06,-232,26,39
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.16,0.06,0.06,-242,32,37
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.21,0.05,0.05,-252,34,40
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.23,0.05,0.05,-267,38,44
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.27,0.04,0.04,-283,43,48
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.27,0.05,0.05,-298,48,46
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.30,0.05,0.05,-311,52,41
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.29,0.06,0.06,-330,64,40
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.35,0.05,0.05,-354,73,32
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.34,0.05,0.05,-376,58,21
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.39,0.05,0.05,-397,46,64
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.40,0.05,0.05,-432,35,76
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.41,0.05,0.05,-479,66,87
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.40,0.06,0.06,-525,80,89
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.34,0.07,0.07,-563,74,124
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.46,0.05,0.05,-602,66,140
North Atlantic,Newfoundland,Placentia,Kemp et al. (2018),Foraminifera,47.235,-53.960,-1.32,0.10,0.10,-634,78,143
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,0.12,0.15,0.15,2014,2,2
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,0.04,0.15,0.15,2011,1,1
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,0.03,0.15,0.15,2009,2,2
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,0.06,0.15,0.15,2006,2,2
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.02,0.16,0.16,2004,2,2
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.05,0.16,0.16,2001,2,2
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.08,0.16,0.16,1997,3,3
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.09,0.16,0.16,1990,4,4
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.06,0.16,0.16,1982,3,3
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.02,0.15,0.15,1975,4,4
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,0.08,0.15,0.15,1965,3,3
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,0.01,0.15,0.15,1957,3,3
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.09,0.15,0.15,1952,3,3
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.11,0.16,0.16,1947,4,4
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.08,0.15,0.15,1940,5,5
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.10,0.15,0.15,1932,5,5
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.10,0.16,0.16,1922,5,5
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,0.12,0.15,0.15,1913,7,7
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,0.20,0.16,0.16,1904,7,7
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,0.05,0.15,0.15,1894,9,9
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.10,0.15,0.15,1882,10,10
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.11,0.15,0.15,1869,14,14
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.16,0.15,0.15,1856,22,22
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.09,0.15,0.15,1842,30,30
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.17,0.15,0.15,1829,35,35
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.17,0.15,0.15,1816,37,37
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.25,0.16,0.16,1802,36,36
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.32,0.16,0.16,1788,35,35
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.32,0.16,0.16,1774,33,33
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,0.08,0.16,0.16,1760,29,29
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.28,0.16,0.16,1745,26,26
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.31,0.16,0.16,1731,32,32
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.34,0.16,0.16,1716,33,33
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.24,0.15,0.15,1700,29,29
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.27,0.15,0.15,1685,25,25
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.02,0.15,0.15,1670,20,20
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.34,0.15,0.15,1657,18,18
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.65,0.15,0.15,1286,54,54
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.63,0.16,0.16,1274,58,58
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.67,0.16,0.16,1262,61,61
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.64,0.16,0.16,1251,65,65
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.68,0.15,0.15,1239,67,67
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.71,0.16,0.16,1227,71,71
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.72,0.16,0.16,1215,73,73
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.71,0.16,0.16,1203,76,76
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.74,0.16,0.16,1190,78,78
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.70,0.16,0.16,1179,81,81
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.75,0.16,0.16,1166,82,82
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.75,0.16,0.16,1151,79,79
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.81,0.15,0.15,1135,75,75
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.86,0.15,0.15,1118,70,70
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.83,0.15,0.15,1100,64,64
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.85,0.15,0.15,1082,58,58
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.90,0.15,0.15,1066,54,54
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.87,0.15,0.15,1049,48,48
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.90,0.15,0.15,1032,42,42
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.88,0.16,0.16,1017,38,38
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.89,0.16,0.16,1003,35,35
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.93,0.16,0.16,989,35,35
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.91,0.16,0.16,978,38,38
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.85,0.16,0.16,967,42,42
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.93,0.16,0.16,956,43,43
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.97,0.16,0.16,945,45,45
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.92,0.16,0.16,933,45,45
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.97,0.16,0.16,921,46,46
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.00,0.16,0.16,908,45,45
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.00,0.16,0.16,896,44,44
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.04,0.16,0.16,884,44,44
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.01,0.16,0.16,874,45,45
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.05,0.16,0.16,865,46,46
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-0.98,0.16,0.16,856,48,48
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.02,0.16,0.16,847,50,50
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.00,0.16,0.16,838,52,52
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.10,0.16,0.16,828,52,52
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.02,0.16,0.16,819,54,54
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.04,0.16,0.16,809,54,54
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.02,0.16,0.16,799,54,54
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.02,0.16,0.16,790,55,55
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.02,0.16,0.16,780,54,54
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.04,0.16,0.16,770,54,54
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.05,0.16,0.16,760,53,53
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.04,0.16,0.16,750,52,52
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.07,0.16,0.16,740,52,52
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.07,0.16,0.16,730,52,52
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.08,0.16,0.16,720,52,52
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.16,0.16,0.16,700,53,53
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.19,0.16,0.16,690,52,52
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.21,0.16,0.16,677,54,54
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.27,0.16,0.16,661,58,58
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.25,0.16,0.16,644,62,62
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.29,0.16,0.16,627,65,65
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.30,0.16,0.16,610,68,68
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.27,0.16,0.16,594,71,71
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.30,0.16,0.16,577,70,70
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.33,0.16,0.16,560,70,70
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.33,0.16,0.16,544,71,71
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.34,0.15,0.15,529,72,72
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.34,0.15,0.15,514,74,74
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.50,0.16,0.16,500,76,76
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.55,0.16,0.16,486,78,78
North Atlantic,Quebec,Saint Simeon,Barnett et al. (2019),Foraminifera,48.067,-65.545,-1.46,0.16,0.16,473,81,81
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.000,34.800,-0.20,0.38,0.38,1900,10,10
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.700,34.900,-0.19,0.44,0.44,1829,120,120
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.600,34.900,-0.10,0.44,0.44,1828,117,117
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.830,34.960,-0.15,0.44,0.44,1805,105,105
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.620,34.930,-0.07,0.44,0.44,1775,125,125
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.830,34.960,-0.21,0.44,0.44,1773,124,124
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,33.100,35.100,-0.03,0.44,0.44,1770,120,120
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.550,34.920,-0.09,0.44,0.44,1770,120,120
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.920,35.070,-0.23,0.40,0.40,1760,15,15
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.600,34.900,-0.21,0.44,0.44,1680,149,149
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,0.47,0.33,0.33,1675,150,150
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,0.43,0.33,0.33,1675,150,150
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.700,34.900,-0.37,0.44,0.44,1608,112,112
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.600,34.900,-0.35,0.44,0.44,1597,97,97
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.600,34.900,-0.28,0.44,0.44,1572,94,94
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.600,34.900,-0.33,0.44,0.44,1564,97,97
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.600,34.900,-0.39,0.44,0.44,1530,98,98
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,33.100,35.100,-0.06,0.44,0.44,1525,95,95
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.600,34.900,-0.47,0.44,0.44,1369,74,74
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.830,34.960,-0.31,0.44,0.44,1354,84,84
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.830,34.960,-0.03,0.44,0.44,1342,83,83
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,33.000,35.100,-0.18,0.44,0.44,1293,99,99
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.830,34.960,-0.37,0.44,0.44,1270,90,90
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.830,34.960,-0.45,0.44,0.44,1260,95,95
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.710,34.930,-0.26,0.32,0.32,1254,36,36
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.710,34.240,-0.29,0.32,0.32,1254,36,36
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.710,34.930,-0.49,0.32,0.32,1254,36,36
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.920,35.070,-0.17,0.32,0.32,1242,50,50
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.925,35.068,-0.27,0.32,0.32,1242,50,50
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.920,35.070,-0.23,0.49,0.49,1241,50,50
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.710,34.930,-0.22,0.44,0.44,1195,105,105
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.830,34.960,-0.12,0.44,0.44,1189,107,107
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,-0.59,0.35,0.35,1133,133,133
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,-0.39,0.35,0.35,1133,133,133
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,-0.33,0.35,0.35,1133,133,133
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.919,35.066,-0.42,0.32,0.32,1130,5,5
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.920,35.066,-0.79,0.32,0.32,1130,5,5
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,33.000,35.100,-0.34,0.44,0.44,1111,109,109
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.830,34.960,-0.22,0.44,0.44,956,119,119
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Other bioconstructed reefs,32.830,34.960,-0.12,0.44,0.44,910,120,120
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,-0.12,0.35,0.35,855,105,105
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,-0.21,0.35,0.35,855,105,105
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,-0.11,0.35,0.35,855,105,105
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,-0.06,0.35,0.35,855,105,105
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,-0.13,0.35,0.35,855,105,105
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,-0.11,0.35,0.35,855,105,105
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,-0.15,0.35,0.35,855,105,105
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,-0.03,0.35,0.35,855,105,105
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,-0.15,0.35,0.35,855,105,105
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,0.05,0.35,0.35,855,105,105
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,-0.10,0.35,0.35,855,105,105
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,-0.15,0.35,0.35,855,105,105
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,-0.20,0.35,0.35,855,105,105
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,0.01,0.35,0.35,855,105,105
Mediterrranean,Israel,Israeli Coast,Dean et al 2019,Archeological,32.500,34.900,-0.10,0.35,0.35,855,105,105
