Basin,Region,Site,Reference,Indicator,Latitude,Longitude,RSL,RSL_er_max,RSL_er_min,Age,Age_2_er_max,Age_2_er_min,SiteName,Age_er_max,Age_er_min,Age_er_average,RSL_er_average
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.63,0.07,0.07,0.75,85,73,"Nassau,
 Florida",0.0425,0.0365,0.0395,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.65,0.07,0.07,0.697,76,58,"Nassau,
 Florida",0.038,0.029,0.0335,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.67,0.07,0.07,0.64,44,52,"Nassau,
 Florida",0.022,0.026,0.024,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.69,0.07,0.07,0.576,57,74,"Nassau,
 Florida",0.0285,0.037,0.03275,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.71,0.07,0.07,0.52,74,75,"Nassau,
 Florida",0.037,0.0375,0.03725,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.73,0.07,0.07,0.463,79,63,"Nassau,
 Florida",0.0395,0.0315,0.0355,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.75,0.07,0.07,0.402,64,58,"Nassau,
 Florida",0.032,0.029,0.0305,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.77,0.07,0.07,0.351,57,72,"Nassau,
 Florida",0.0285,0.036,0.03225,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.79,0.07,0.07,0.306,69,79,"Nassau,
 Florida",0.0345,0.0395,0.037,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.81,0.07,0.07,0.261,73,78,"Nassau,
 Florida",0.0365,0.039,0.03775,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.83,0.07,0.07,0.218,67,72,"Nassau,
 Florida",0.0335,0.036,0.03475,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.84,0.07,0.07,0.159,68,79,"Nassau,
 Florida",0.034,0.0395,0.03675,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.85,0.07,0.07,0.137,75,87,"Nassau,
 Florida",0.0375,0.0435,0.0405,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.87,0.07,0.07,0.114,82,91,"Nassau,
 Florida",0.041,0.0455,0.04325,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.89,0.07,0.07,0.07,95,99,"Nassau,
 Florida",0.0475,0.0495,0.0485,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.91,0.07,0.07,0.024,101,102,"Nassau,
 Florida",0.0505,0.051,0.05075,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.93,0.07,0.07,-0.02,103,102,"Nassau,
 Florida",0.0515,0.051,0.05125,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.95,0.07,0.07,-0.065,104,101,"Nassau,
 Florida",0.052,0.0505,0.05125,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.97,0.07,0.07,-0.109,99,98,"Nassau,
 Florida",0.0495,0.049,0.04925,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-0.99,0.07,0.07,-0.154,90,92,"Nassau,
 Florida",0.045,0.046,0.0455,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-1.01,0.07,0.07,-0.198,77,91,"Nassau,
 Florida",0.0385,0.0455,0.042,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-1.03,0.07,0.07,-0.245,54,109,"Nassau,
 Florida",0.027,0.0545,0.04075,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-1.05,0.07,0.07,-0.284,55,113,"Nassau,
 Florida",0.0275,0.0565,0.042,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-1.07,0.07,0.07,-0.316,63,118,"Nassau,
 Florida",0.0315,0.059,0.04525,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-1.09,0.07,0.07,-0.349,69,131,"Nassau,
 Florida",0.0345,0.0655,0.05,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-1.11,0.07,0.07,-0.38,73,145,"Nassau,
 Florida",0.0365,0.0725,0.0545,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-1.13,0.07,0.07,-0.413,75,161,"Nassau,
 Florida",0.0375,0.0805,0.059,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-1.15,0.07,0.07,-0.445,76,175,"Nassau,
 Florida",0.038,0.0875,0.06275,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-1.17,0.07,0.07,-0.477,76,191,"Nassau,
 Florida",0.038,0.0955,0.06675,0.07
North Atlantic,Florida,Nassau,Kemp et al. (2014),foramininifera and plants,30.587,-81.666,-1.18,0.07,0.07,-0.499,81,201,"Nassau,
 Florida",0.0405,0.1005,0.0705,0.07
North Atlantic,Massachusetts,Revere,Donnelly (2006),plants,42.431,-71.008,-1.83,0.06,0.06,-0.648,149,149,"Revere,
 Massachusetts",0.0745,0.0745,0.0745,0.06
North Atlantic,Massachusetts,Revere,Donnelly (2006),plants,42.431,-71.008,-1.29,0.07,0.07,0.137,90,90,"Revere,
 Massachusetts",0.045,0.045,0.045,0.07
North Atlantic,Massachusetts,Revere,Donnelly (2006),plants,42.431,-71.008,-0.69,0.06,0.06,0.988,53,53,"Revere,
 Massachusetts",0.0265,0.0265,0.0265,0.06
North Atlantic,Massachusetts,Revere,Donnelly (2006),plants,42.431,-71.008,-0.58,0.07,0.07,1.584,98,98,"Revere,
 Massachusetts",0.049,0.049,0.049,0.07
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-1.12,0.06,0.06,0.463,78,78,"Wood Island,
 Massachusetts",0.039,0.039,0.039,0.06
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-1.02,0.06,0.06,0.507,74,74,"Wood Island,
 Massachusetts",0.037,0.037,0.037,0.06
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-0.98,0.06,0.06,0.619,40,40,"Wood Island,
 Massachusetts",0.02,0.02,0.02,0.06
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-0.93,0.06,0.06,0.671,61,61,"Wood Island,
 Massachusetts",0.0305,0.0305,0.0305,0.06
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-0.74,0.06,0.06,0.707,96,96,"Wood Island,
 Massachusetts",0.048,0.048,0.048,0.06
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-0.84,0.06,0.06,0.728,101,101,"Wood Island,
 Massachusetts",0.0505,0.0505,0.0505,0.06
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-0.63,0.06,0.06,0.932,100,100,"Wood Island,
 Massachusetts",0.05,0.05,0.05,0.06
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-0.64,0.06,0.06,0.941,54,54,"Wood Island,
 Massachusetts",0.027,0.027,0.027,0.06
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-0.59,0.06,0.06,0.997,68,68,"Wood Island,
 Massachusetts",0.034,0.034,0.034,0.06
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-0.52,0.06,0.06,1.415,60,60,"Wood Island,
 Massachusetts",0.03,0.03,0.03,0.06
North Atlantic,Massachusetts,Wood Island,Kemp et al. (2011),plants,42.238,-70.778,-0.49,0.06,0.06,1.486,91,91,"Wood Island,
 Massachusetts",0.0455,0.0455,0.0455,0.06
